ID Policijska uprava;Policijska uprava;Godina;Broj testiranih vozača;% vozača pod uticajem alkohola RADNIM DANIMA;% vozača pod uticajem alkohola VIKENDOM;% vozača pod uticajem alkohola DANJU;% vozača pod uticajem alkohola NOĆU;% vozača pod uticajem alkohola U NASELJU;% vozača pod uticajem alkohola VAN NASELJA;% vozača pod uticajem alkohola UKUPNO;Klasa NASELJE;Klasa VAN NASELJA;Klasa UKUPNO
26;Sombor;2017;1706;0.48;0.76;0.41;1.05;0.42;0.79;0.59;5;5;5
100;Srbija;2017;41077;0.49;0.61;0.35;0.80;0.54;0.52;0.53;5;5;5
28;Sremska Mitrovica;2017;1254;0.72;0.96;0.55;1.15;0.53;1.21;0.80;5;5;5
27;Subotica;2017;1080;0.79;0.00;0.33;0.63;0.35;0.58;0.46;5;5;5
14;Šabac;2017;1092;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1;1;1
19;Užice;2017;2020;0.71;0.32;0.33;0.98;0.41;0.76;0.59;5;5;5
13;Valjevo;2017;943;0.00;0.56;0.29;0.00;0.00;0.40;0.21;1;5;3
8;Vranje;2017;995;0.66;0.25;0.17;1.01;0.93;0.00;0.50;5;1;5
9;Zaječar;2017;1142;0.71;0.45;0.31;0.99;0.00;1.24;0.61;1;5;5
23;Zrenjanin;2017;1186;0.41;1.54;0.65;1.05;1.52;0.17;0.84;5;3;5
